frame_id,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,tempo,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,mfcc14_var,mfcc15_var,mfcc16_var,mfcc17_var,mfcc18_var,mfcc19_var,mfcc20_var,genre
GRgdCPap.3,0.37832683,0.09079432,0.15125011,0.00481022,3050.6992042374686,1214605.193981476,3180.657250635862,797865.3538215224,6419.126465884861,5844687.384301222,0.0635556869669509,0.0011892591633191,-4.6874175e-05,0.0053021815,140.625,-141.97385,139.65247,-54.85777,24.107368,-30.84898,-1.8159637,-24.049551,-11.883953,-14.2911825,-15.301834,-4.64616,-4.5649257,-7.286881,-2.0834484,-13.820133,-3.3074799,-7.071303,-4.2087073,-10.635894,-3.7187073,5191.7686,943.6048,558.06384,406.27832,451.47296,553.9864,235.92899,451.21802,103.53317,251.97354,82.75298,181.36424,71.14011,70.259865,68.221344,60.00641,41.651157,73.19801,55.395065,44.409283,reggaeton
tMCfuovS.18,0.60581625,0.06799773,0.17213978,0.004104618,2671.2098056499963,666527.5021596196,3667.417108872975,549053.3914585548,6579.29104477612,6390844.616235768,0.0337767773853944,0.0004429002118837,-7.2298004e-05,0.0030850032,125.0,-181.84096,134.28195,-17.35411,40.39177,-12.323515,42.757114,-6.572863,25.269545,13.4360075,11.834306,16.250338,9.883514,1.9673179,-2.362024,7.1379223,-1.3646723,2.9035869,0.42662233,4.689418,6.8623676,2085.714,571.0836,761.2697,136.91072,203.68953,96.93139,128.45033,93.27641,122.57273,122.49127,177.02356,99.932,46.01664,37.365383,46.574417,45.709087,66.025314,45.497383,80.56539,83.979294,house
ZYZUVuHF.39,0.56716394,0.0788643,0.06749136,0.0006097005,3133.619170442061,1793328.378121683,3728.2977615787527,496520.86620035535,6705.523720682303,6704221.783119366,0.0410270772254797,0.0011970578693907,-2.7694092e-05,0.0008899781,93.75,-256.00052,121.5628,-20.59925,58.82675,-3.0994947,28.378777,-5.9777846,19.098776,4.8717785,10.383892,3.6946743,12.083147,8.074404,4.9525504,5.023925,4.787726,5.0811543,-3.4815426,2.1898,-4.4120054,3039.3538,1003.4547,534.10767,322.55756,196.65324,225.24559,112.855576,91.95381,124.941925,82.22245,87.66152,101.83715,87.501,48.162865,45.428356,60.048916,45.007267,50.223545,40.50613,47.100952,hiphop
9Qr0TOEz.3,0.6084365,0.067007326,0.1852106,0.0023965437,3200.8518561093515,1716334.4767313802,4095.2337497125136,843343.5552159969,7425.089952025586,8878372.625462405,0.0435330323827292,0.000983051977954,-2.5813658e-06,0.004581924,119.6808510638298,-146.2512,126.83021,1.3348503,59.146744,-3.0054502,23.879387,-7.727745,16.81399,10.02289,14.56082,-0.19155785,13.591695,-3.214773,4.0344996,3.1251564,2.0928633,-0.46848172,4.425813,-1.8594135,3.6568708,3678.0818,699.10114,652.33167,299.29434,335.73676,291.9555,256.66483,133.85843,186.72069,118.005035,108.8639,102.6877,71.37837,69.854576,63.441647,76.04119,51.675995,44.033722,40.019573,32.611797,rock
OwMfnlHe.10,0.4660439,0.07913693,0.07553007,0.00050824403,2985.2423822499454,542078.2099170649,3510.653101157932,576960.9949314671,6322.178171641791,4281227.779263995,0.0644218916577825,0.0002942309354279,2.2033403e-07,0.001597815,125.0,-180.94273,155.94876,-46.24369,39.724037,-10.442788,29.28763,-16.075743,15.009749,-4.7056236,7.356729,-2.864267,5.225971,-1.8173826,6.2258058,-6.59078,0.50599563,-2.14618,-7.6568646,-3.2462833,-4.7435513,1427.4011,530.4826,266.71017,138.38,179.77292,130.31339,119.68951,71.70573,125.83784,146.97287,103.02298,66.14101,60.305225,56.442005,48.929066,63.811085,60.923916,81.74506,44.838673,67.0964,rock
NDbiQdmB.1,0.4811295,0.09151122,0.021330662,0.00035115614,2293.186142876334,3308081.4902343303,2938.266462440859,2271796.754843345,4738.472814498934,16525676.536057988,0.0437766524520255,0.0034418594316856,3.15111e-06,0.00011172143,127.8409090909091,-421.37805,145.34888,10.468623,35.62556,7.9809885,6.8774037,-9.134824,2.44255,-6.7393227,-1.8200384,1.9110223,-5.8446255,-2.99371,-2.6014628,-6.1187434,-3.667681,-2.417935,-3.970865,-3.7558005,-4.193671,6355.7803,1483.2358,736.04016,534.0056,918.4802,126.23867,284.84387,100.902084,98.991,121.832405,56.92141,103.00409,68.10135,75.54243,50.702766,72.48609,37.608242,41.036858,36.009487,56.002655,pop
rYzZO0IJ.61,0.63557684,0.051416457,0.00093337597,4.105799e-06,7510.545828133349,11216966.788244745,5647.840139633869,2194088.929369761,13978.544776119405,27077771.127009623,0.2298159731476546,0.0187923815569923,1.0720536e-06,7.210144e-07,119.6808510638298,-758.6742,66.08653,-4.7620926,25.566172,-1.0447189,16.297718,-0.67675596,4.644515,-0.31507233,4.6741953,-4.1418276,-1.1582533,-2.518943,4.9265027,-4.0007544,0.20579025,-2.3794162,0.4899551,-5.563627,1.1822174,33065.055,3271.8215,942.3697,669.97473,428.65445,101.17366,34.253956,55.173088,20.857222,18.530722,34.631783,50.759235,30.988632,19.246452,40.282715,33.572475,23.007946,24.4062,16.447887,12.54396,gabber
XrxJynmK.46,0.6011927,0.058459576,0.2589438,0.0028399976,2453.6219424922456,188341.1369724554,2878.471238501261,96730.4042978048,5274.636860341151,1246771.1161722988,0.042413837619936,0.0003147599369348,1.7207765e-05,0.0042898413,125.0,-99.29493,160.37167,-58.478703,58.59062,-5.249296,32.58559,-0.82014716,11.235044,21.999378,0.4998044,12.898347,-3.5500052,11.343513,-1.3798172,3.0366576,4.6165323,1.5984828,2.4397929,-2.9116087,3.1367164,402.0401,121.54834,122.86311,147.33339,89.659325,70.15098,68.36712,87.99487,85.958694,51.183777,41.685287,52.626415,37.593517,39.478172,25.138746,31.928846,34.445114,36.59663,31.32267,32.44573,rock
hRUsftKz.11,0.5942743,0.08698916,0.25887486,0.024130601,3179.612221631701,2010701.5081049425,3550.415761161168,485411.56815487234,6595.032649253732,7311829.310592808,0.0618440998134328,0.0029811115566567,4.3579268e-05,0.009668379,125.0,-109.104095,127.26694,-33.687996,41.82807,-19.882063,17.82219,-4.6871824,7.2771235,-3.3407364,3.2858922,0.38999826,0.039030485,-4.8269677,-4.407193,-2.5154974,-3.766114,-3.6530344,-1.6819222,2.099982,5.6555533,2768.221,1135.8899,705.16113,377.01718,501.45755,255.68442,242.75096,158.14806,202.98149,100.63318,155.90495,111.45283,124.89327,68.11954,94.217834,57.0,80.72078,64.139786,69.32705,59.100018,house
kPXQ16rQ.12,0.68534356,0.04898669,0.1748113,0.001621651,1528.748455755911,819855.190441783,2685.553614774957,595626.675015941,3131.3799307036247,5186825.910331832,0.0137780683635394,0.0001589879891161,-2.8837618e-05,0.0011788309,125.0,-225.40959,179.5231,-2.4677062,36.187134,0.9698536,14.401607,6.174465,13.729513,1.863967,12.4705715,13.4929285,5.0226192,6.5069227,13.301053,-0.5830526,3.6498866,11.067603,-1.4140383,1.2197661,3.7303405,3030.6946,960.9751,241.1407,328.19797,265.78067,98.4375,88.89707,73.15383,84.415726,103.02345,44.577106,55.217716,66.08877,133.66745,83.30391,38.057293,35.791275,34.30193,31.70404,42.09789,metal
